Sequence number	Sequence ID	V-DOMAIN Functionality	V-GENE and allele	V-REGION Nb of positions including IMGT gaps (nt)	V-REGION Nb of nucleotides	V-REGION Nb of identical nucleotides	V-REGION Nb of mutations	V-REGION Nb of silent mutations	V-REGION Nb of nonsilent mutations	V-REGION a>g	V-REGION g>a	V-REGION c>t	V-REGION t>c	V-REGION a>c	V-REGION c>a	V-REGION a>t	V-REGION t>a	V-REGION g>c	V-REGION c>g	V-REGION g>t	V-REGION t>g	FR1-IMGT Nb of positions including IMGT gaps (nt)	FR1-IMGT Nb of nucleotides	FR1-IMGT Nb of identical nucleotides	FR1-IMGT Nb of mutations	FR1-IMGT Nb of silent mutations	FR1-IMGT Nb of nonsilent mutations	FR1-IMGT a>g	FR1-IMGT g>a	FR1-IMGT c>t	FR1-IMGT t>c	FR1-IMGT a>c	FR1-IMGT c>a	FR1-IMGT a>t	FR1-IMGT t>a	FR1-IMGT g>c	FR1-IMGT c>g	FR1-IMGT g>t	FR1-IMGT t>g	CDR1-IMGT Nb of positions including IMGT gaps (nt)	CDR1-IMGT Nb of nucleotides	CDR1-IMGT Nb of identical nucleotides	CDR1-IMGT Nb of mutations	CDR1-IMGT Nb of silent mutations	CDR1-IMGT Nb of nonsilent mutations	CDR1-IMGT a>g	CDR1-IMGT g>a	CDR1-IMGT c>t	CDR1-IMGT t>c	CDR1-IMGT a>c	CDR1-IMGT c>a	CDR1-IMGT a>t	CDR1-IMGT t>a	CDR1-IMGT g>c	CDR1-IMGT c>g	CDR1-IMGT g>t	CDR1-IMGT t>g	FR2-IMGT Nb of positions including IMGT gaps (nt)	FR2-IMGT Nb of nucleotides	FR2-IMGT Nb of identical nucleotides	FR2-IMGT Nb of mutations	FR2-IMGT Nb of silent mutations	FR2-IMGT Nb of nonsilent mutations	FR2-IMGT a>g	FR2-IMGT g>a	FR2-IMGT c>t	FR2-IMGT t>c	FR2-IMGT a>c	FR2-IMGT c>a	FR2-IMGT a>t	FR2-IMGT t>a	FR2-IMGT g>c	FR2-IMGT c>g	FR2-IMGT g>t	FR2-IMGT t>g	CDR2-IMGT Nb of positions including IMGT gaps (nt)	CDR2-IMGT Nb of nucleotides	CDR2-IMGT Nb of identical nucleotides	CDR2-IMGT Nb of mutations	CDR2-IMGT Nb of silent mutations	CDR2-IMGT Nb of nonsilent mutations	CDR2-IMGT a>g	CDR2-IMGT g>a	CDR2-IMGT c>t	CDR2-IMGT t>c	CDR2-IMGT a>c	CDR2-IMGT c>a	CDR2-IMGT a>t	CDR2-IMGT t>a	CDR2-IMGT g>c	CDR2-IMGT c>g	CDR2-IMGT g>t	CDR2-IMGT t>g	FR3-IMGT Nb of positions including IMGT gaps (nt)	FR3-IMGT Nb of nucleotides	FR3-IMGT Nb of identical nucleotides	FR3-IMGT Nb of mutations	FR3-IMGT Nb of silent mutations	FR3-IMGT Nb of nonsilent mutations	FR3-IMGT a>g	FR3-IMGT g>a	FR3-IMGT c>t	FR3-IMGT t>c	FR3-IMGT a>c	FR3-IMGT c>a	FR3-IMGT a>t	FR3-IMGT t>a	FR3-IMGT g>c	FR3-IMGT c>g	FR3-IMGT g>t	FR3-IMGT t>g	CDR3-IMGT Nb of positions including IMGT gaps (nt)	CDR3-IMGT Nb of nucleotides	CDR3-IMGT Nb of identical nucleotides	CDR3-IMGT Nb of mutations	CDR3-IMGT Nb of silent mutations	CDR3-IMGT Nb of nonsilent mutations	CDR3-IMGT a>g	CDR3-IMGT g>a	CDR3-IMGT c>t	CDR3-IMGT t>c	CDR3-IMGT a>c	CDR3-IMGT c>a	CDR3-IMGT a>t	CDR3-IMGT t>a	CDR3-IMGT g>c	CDR3-IMGT c>g	CDR3-IMGT g>t	CDR3-IMGT t>g	
1	AKF02505.1_anti-influenza_H1N1_hemagglutinin_immu	productive	Homsap IGKV3D-15*01 F	332 (335)	284 (287)	217	67 (70)	56 (59)	11	8	1	1	22 (23)	6	0 (1)	2	7	5	13 (14)	0	2	78	78	55	23	19	4	4	0	1	4	2	0	0	4	2	6	0	0	36	18	15	3	2	1	0	0	0	1	0	0	0	0	1	0	0	1	51	51	41	10	7	3	2	0	0	4	0	0	2	0	0	2	0	0	30	9	5	4	4	0	0	0	0	1	1	0	0	1	0	1	0	0	117	108	84	24	22	2	1	1	0	10	3	0	0	2	2	4	0	1	20 (23)	20 (23)	17	3 (6)	2 (5)	1	1	0	0	2 (3)	0	0 (1)	0	0	0	0 (1)	0	0	
2	AKF02504.1_anti-influenza_H1N1_hemagglutinin_immu	productive	Homsap IGKV1-9*01 F, or Homsap IGKV1-9*02 F	335	287	212	75	72	3	10	1	0	29	11	1	0	7	4	11	0	1	78	78	57	21	21	0	2	0	0	6	3	1	0	4	0	5	0	0	36	18	13	5	2	3	0	1	0	3	0	0	0	0	1	0	0	0	51	51	40	11	11	0	4	0	0	4	1	0	0	0	1	1	0	0	30	9	5	4	4	0	0	0	0	1	1	0	0	1	0	1	0	0	117	108	79	29	29	0	3	0	0	12	6	0	0	2	2	4	0	0	23	23	18	5	5	0	1	0	0	3	0	0	0	0	0	0	0	1	
3	AKF02503.1_anti-influenza_H1N1_hemagglutinin_immu	productive	Homsap IGKV3D-15*01 F	332 (335)	284 (287)	218	66 (69)	56 (59)	10	7	2	0	22 (23)	7	0 (1)	1	7	5	13 (14)	0	2	78	78	56	22	20	2	3	0	0	4	3	0	0	4	2	6	0	0	36	18	15	3	2	1	0	0	0	1	0	0	0	0	1	0	0	1	51	51	42	9	7	2	2	0	0	4	0	0	1	0	0	2	0	0	30	9	4	5	3	2	0	1	0	1	1	0	0	1	0	1	0	0	117	108	84	24	22	2	1	1	0	10	3	0	0	2	2	4	0	1	20 (23)	20 (23)	17	3 (6)	2 (5)	1	1	0	0	2 (3)	0	0 (1)	0	0	0	0 (1)	0	0	
4	AKF02502.1_anti-influenza_H1N1_hemagglutinin_immu	productive	Homsap IGKV3D-15*01 F	331 (335)	283 (287)	215 (216)	68 (71)	55 (56)	13 (15)	10	2	0 (2)	22	7	0	1	6	5	12	0	3 (4)	78	78	57	21	18	3	3	0	0	4	3	0	0	3	2	5	0	1	36	18	13	5	1	4	0	2	0	1	0	0	0	0	1	0	0	1	51	51	43	8	8	0	2	0	0	4	0	0	0	0	0	2	0	0	30	9	5	4	4	0	0	0	0	1	1	0	0	1	0	1	0	0	117	108	81	27	22	5	4	0	0	10	3	0	1	2	2	4	0	1	19 (23)	19 (23)	16 (17)	3 (6)	2 (3)	1 (3)	1	0	0 (2)	2	0	0	0	0	0	0	0	0 (1)	
5	AKF02501.1_anti-influenza_H1N1_hemagglutinin_immu	productive	Homsap IGKV3-20*01 F	332 (335)	287 (290)	215 (216)	72 (74)	61 (63)	11	8	1	1	26 (27)	7	0 (1)	0	8	5	15	0	1	78	78	53	25	23	2	3	0	1	7	2	0	0	4	2	6	0	0	36	21	17	4	2	2	0	0	0	1	0	0	0	1	0	1	0	1	51	51	41	10	7	3	2	0	0	5	0	0	0	0	1	2	0	0	30	9	5	4	4	0	0	0	0	1	1	0	0	1	0	1	0	0	117	108	84	24	20	4	3	1	0	10	3	0	0	1	2	4	0	0	20 (23)	20 (23)	15 (16)	5 (7)	5 (7)	0	0	0	0	2 (3)	1	0 (1)	0	1	0	1	0	0	
6	AKF02500.1_anti-influenza_H1N1_hemagglutinin_immu	productive	Homsap IGKV3-20*01 F	328 (335)	283 (290)	222	61 (68)	59 (61)	2 (7)	7	0	1 (4)	25	6 (7)	0 (2)	0	6	5	10	0	1 (2)	78	78	54	24	23	1	3	0	1	7	2	0	0	4	2	5	0	0	36	21	19	2	2	0	0	0	0	1	0	0	0	0	0	0	0	1	51	51	43	8	8	0	2	0	0	4	0	0	0	0	0	2	0	0	30	9	5	4	4	0	0	0	0	1	1	0	0	1	0	1	0	0	117	108	88	20	20	0	2	0	0	10	3	0	0	1	2	2	0	0	16 (23)	16 (23)	13	3 (10)	2 (4)	1 (6)	0	0	0 (3)	2	0 (1)	0 (2)	0	0	1	0	0	0 (1)	
7	AKF02499.1_anti-influenza_H1N1_hemagglutinin_immu	productive	Homsap IGKV3-20*01 F	332 (335)	287 (290)	213 (214)	74 (76)	59 (61)	15	7	1	1	26 (27)	8	0 (1)	0	7	8	14	0	2	78	78	53	25	23	2	3	0	1	7	2	0	0	4	2	6	0	0	36	21	14	7	1	6	0	1	0	1	0	0	0	0	2	1	0	2	51	51	41	10	6	4	2	0	0	5	1	0	0	0	0	2	0	0	30	9	5	4	4	0	0	0	0	1	1	0	0	1	0	1	0	0	117	108	86	22	20	2	2	0	0	10	3	0	0	1	3	3	0	0	20 (23)	20 (23)	14 (15)	6 (8)	5 (7)	1	0	0	0	2 (3)	1	0 (1)	0	1	1	1	0	0	
8	AKF02498.1_anti-influenza_H1N1_hemagglutinin_immu	productive	Homsap IGKV3-20*01 F	332 (335)	287 (290)	216 (217)	71 (73)	61 (63)	10	7	2	1	25 (26)	7	0 (1)	0	8	6	14	0	1	78	78	53	25	23	2	3	0	1	7	2	0	0	4	2	6	0	0	36	21	16	5	2	3	0	1	0	1	0	0	0	1	0	1	0	1	51	51	43	8	8	0	2	0	0	4	0	0	0	0	0	2	0	0	30	9	4	5	3	2	0	1	0	1	1	0	0	1	0	1	0	0	117	108	86	22	20	2	2	0	0	10	3	0	0	1	3	3	0	0	20 (23)	20 (23)	14 (15)	6 (8)	5 (7)	1	0	0	0	2 (3)	1	0 (1)	0	1	1	1	0	0	
9	AKF02497.1_anti-influenza_H1N1_hemagglutinin_immu	productive	Homsap IGKV3-20*01 F	332 (335)	287 (290)	215 (216)	72 (74)	57 (59)	15	7	1	2	26 (27)	7	1 (2)	0	7	6	14	0	1	78	78	53	25	23	2	3	0	1	7	2	0	0	4	2	6	0	0	36	21	16	5	1	4	0	1	0	1	0	0	0	1	1	0	0	1	51	51	41	10	7	3	2	0	0	5	0	1	0	0	0	2	0	0	30	9	6	3	2	1	0	0	1	1	1	0	0	0	0	0	0	0	117	108	84	24	19	5	2	0	0	10	3	0	0	1	3	5	0	0	20 (23)	20 (23)	15 (16)	5 (7)	5 (7)	0	0	0	0	2 (3)	1	0 (1)	0	1	0	1	0	0	
10	AKF02496.1_anti-influenza_H1N1_hemagglutinin_immu	productive	Homsap IGKV2-28*01 F, or Homsap IGKV2D-28*01 F	332 (335)	299 (302)	216 (217)	83 (85)	67 (69)	16	7	1	0	27 (28)	9	4 (5)	1	10	4	16	0	4	78	78	54	24	21	3	0	0	0	7	2	1	0	5	1	8	0	0	36	33	23	10	4	6	1	0	0	3	1	1	0	1	0	2	0	1	51	51	39	12	10	2	1	0	0	4	2	1	0	1	1	2	0	0	30	9	4	5	4	1	0	0	0	2	0	0	0	1	0	1	0	1	117	108	82	26	24	2	2	0	0	9	4	1	1	2	2	3	0	2	20 (23)	20 (23)	14 (15)	6 (8)	4 (6)	2	3	1	0	2 (3)	0	0 (1)	0	0	0	0	0	0	
