Sequence number	Sequence ID	V-DOMAIN Functionality	V-GENE and allele	V-REGION Nb of positions including IMGT gaps (nt)	V-REGION Nb of nucleotides	V-REGION Nb of identical nucleotides	V-REGION Nb of mutations	V-REGION Nb of silent mutations	V-REGION Nb of nonsilent mutations	V-REGION a>g	V-REGION g>a	V-REGION c>t	V-REGION t>c	V-REGION a>c	V-REGION c>a	V-REGION a>t	V-REGION t>a	V-REGION g>c	V-REGION c>g	V-REGION g>t	V-REGION t>g	FR1-IMGT Nb of positions including IMGT gaps (nt)	FR1-IMGT Nb of nucleotides	FR1-IMGT Nb of identical nucleotides	FR1-IMGT Nb of mutations	FR1-IMGT Nb of silent mutations	FR1-IMGT Nb of nonsilent mutations	FR1-IMGT a>g	FR1-IMGT g>a	FR1-IMGT c>t	FR1-IMGT t>c	FR1-IMGT a>c	FR1-IMGT c>a	FR1-IMGT a>t	FR1-IMGT t>a	FR1-IMGT g>c	FR1-IMGT c>g	FR1-IMGT g>t	FR1-IMGT t>g	CDR1-IMGT Nb of positions including IMGT gaps (nt)	CDR1-IMGT Nb of nucleotides	CDR1-IMGT Nb of identical nucleotides	CDR1-IMGT Nb of mutations	CDR1-IMGT Nb of silent mutations	CDR1-IMGT Nb of nonsilent mutations	CDR1-IMGT a>g	CDR1-IMGT g>a	CDR1-IMGT c>t	CDR1-IMGT t>c	CDR1-IMGT a>c	CDR1-IMGT c>a	CDR1-IMGT a>t	CDR1-IMGT t>a	CDR1-IMGT g>c	CDR1-IMGT c>g	CDR1-IMGT g>t	CDR1-IMGT t>g	FR2-IMGT Nb of positions including IMGT gaps (nt)	FR2-IMGT Nb of nucleotides	FR2-IMGT Nb of identical nucleotides	FR2-IMGT Nb of mutations	FR2-IMGT Nb of silent mutations	FR2-IMGT Nb of nonsilent mutations	FR2-IMGT a>g	FR2-IMGT g>a	FR2-IMGT c>t	FR2-IMGT t>c	FR2-IMGT a>c	FR2-IMGT c>a	FR2-IMGT a>t	FR2-IMGT t>a	FR2-IMGT g>c	FR2-IMGT c>g	FR2-IMGT g>t	FR2-IMGT t>g	CDR2-IMGT Nb of positions including IMGT gaps (nt)	CDR2-IMGT Nb of nucleotides	CDR2-IMGT Nb of identical nucleotides	CDR2-IMGT Nb of mutations	CDR2-IMGT Nb of silent mutations	CDR2-IMGT Nb of nonsilent mutations	CDR2-IMGT a>g	CDR2-IMGT g>a	CDR2-IMGT c>t	CDR2-IMGT t>c	CDR2-IMGT a>c	CDR2-IMGT c>a	CDR2-IMGT a>t	CDR2-IMGT t>a	CDR2-IMGT g>c	CDR2-IMGT c>g	CDR2-IMGT g>t	CDR2-IMGT t>g	FR3-IMGT Nb of positions including IMGT gaps (nt)	FR3-IMGT Nb of nucleotides	FR3-IMGT Nb of identical nucleotides	FR3-IMGT Nb of mutations	FR3-IMGT Nb of silent mutations	FR3-IMGT Nb of nonsilent mutations	FR3-IMGT a>g	FR3-IMGT g>a	FR3-IMGT c>t	FR3-IMGT t>c	FR3-IMGT a>c	FR3-IMGT c>a	FR3-IMGT a>t	FR3-IMGT t>a	FR3-IMGT g>c	FR3-IMGT c>g	FR3-IMGT g>t	FR3-IMGT t>g	CDR3-IMGT Nb of positions including IMGT gaps (nt)	CDR3-IMGT Nb of nucleotides	CDR3-IMGT Nb of identical nucleotides	CDR3-IMGT Nb of mutations	CDR3-IMGT Nb of silent mutations	CDR3-IMGT Nb of nonsilent mutations	CDR3-IMGT a>g	CDR3-IMGT g>a	CDR3-IMGT c>t	CDR3-IMGT t>c	CDR3-IMGT a>c	CDR3-IMGT c>a	CDR3-IMGT a>t	CDR3-IMGT t>a	CDR3-IMGT g>c	CDR3-IMGT c>g	CDR3-IMGT g>t	CDR3-IMGT t>g	
1	4QHLB_Chain_B,_UCA_light_chain	productive	Homsap IGLV3-1*01 F	331 (336)	280 (285)	216 (217)	64 (68)	62	2 (6)	4	0 (1)	0	21 (22)	9 (10)	2	1	10	5	11 (12)	1	0	78	75	55	20	20	0	0	0	0	4	6	0	0	5	0	5	0	0	36	18	12	6	6	0	2	0	0	3	0	0	0	0	1	0	0	0	51	51	43	8	8	0	0	0	0	4	1	0	0	1	0	2	0	0	30	9	7	2	2	0	1	0	0	1	0	0	0	0	0	0	0	0	117	108	83	25	25	0	1	0	0	9	2	2	0	4	3	4	0	0	19 (24)	19 (24)	16 (17)	3 (7)	1	2 (6)	0	0 (1)	0	0 (1)	0 (1)	0	1	0	1	0 (1)	1	0	
2	4QHLA_Chain_A,_I3_heavy_chain	productive	Homsap IGHV4-31*08 F	311	284	210	74	50	24	8	1	0	14	6	4	1	11	8	19	1	1	78	75	55	20	16	4	0	0	0	3	3	1	0	4	1	8	0	0	36	24	18	6	5	1	0	0	0	3	0	0	0	1	0	2	0	0	51	51	41	10	5	5	1	0	0	1	2	2	0	0	1	2	1	0	30	21	13	8	1	7	0	1	0	3	1	0	1	0	2	0	0	0	116	113	83	30	23	7	7	0	0	4	0	1	0	6	4	7	0	1																			
3	4QHKP_Chain_P,_UCA_light_chain	productive	Homsap IGLV3-1*01 F	331 (336)	280 (285)	216 (217)	64 (68)	62	2 (6)	4	0 (1)	0	21 (22)	9 (10)	2	1	10	5	11 (12)	1	0	78	75	55	20	20	0	0	0	0	4	6	0	0	5	0	5	0	0	36	18	12	6	6	0	2	0	0	3	0	0	0	0	1	0	0	0	51	51	43	8	8	0	0	0	0	4	1	0	0	1	0	2	0	0	30	9	7	2	2	0	1	0	0	1	0	0	0	0	0	0	0	0	117	108	83	25	25	0	1	0	0	9	2	2	0	4	3	4	0	0	19 (24)	19 (24)	16 (17)	3 (7)	1	2 (6)	0	0 (1)	0	0 (1)	0 (1)	0	1	0	1	0 (1)	1	0	
4	4QHKL_Chain_L,_UCA_light_chain	productive	Homsap IGLV3-1*01 F	331 (336)	280 (285)	216 (217)	64 (68)	62	2 (6)	4	0 (1)	0	21 (22)	9 (10)	2	1	10	5	11 (12)	1	0	78	75	55	20	20	0	0	0	0	4	6	0	0	5	0	5	0	0	36	18	12	6	6	0	2	0	0	3	0	0	0	0	1	0	0	0	51	51	43	8	8	0	0	0	0	4	1	0	0	1	0	2	0	0	30	9	7	2	2	0	1	0	0	1	0	0	0	0	0	0	0	0	117	108	83	25	25	0	1	0	0	9	2	2	0	4	3	4	0	0	19 (24)	19 (24)	16 (17)	3 (7)	1	2 (6)	0	0 (1)	0	0 (1)	0 (1)	0	1	0	1	0 (1)	1	0	
5	4QHKJ_Chain_J,_UCA_light_chain	productive	Homsap IGLV3-1*01 F	331 (336)	280 (285)	216 (217)	64 (68)	62	2 (6)	4	0 (1)	0	21 (22)	9 (10)	2	1	10	5	11 (12)	1	0	78	75	55	20	20	0	0	0	0	4	6	0	0	5	0	5	0	0	36	18	12	6	6	0	2	0	0	3	0	0	0	0	1	0	0	0	51	51	43	8	8	0	0	0	0	4	1	0	0	1	0	2	0	0	30	9	7	2	2	0	1	0	0	1	0	0	0	0	0	0	0	0	117	108	83	25	25	0	1	0	0	9	2	2	0	4	3	4	0	0	19 (24)	19 (24)	16 (17)	3 (7)	1	2 (6)	0	0 (1)	0	0 (1)	0 (1)	0	1	0	1	0 (1)	1	0	
6	4QHKN_Chain_N,_UCA_light_chain	productive	Homsap IGLV3-1*01 F	331 (336)	280 (285)	216 (217)	64 (68)	62	2 (6)	4	0 (1)	0	21 (22)	9 (10)	2	1	10	5	11 (12)	1	0	78	75	55	20	20	0	0	0	0	4	6	0	0	5	0	5	0	0	36	18	12	6	6	0	2	0	0	3	0	0	0	0	1	0	0	0	51	51	43	8	8	0	0	0	0	4	1	0	0	1	0	2	0	0	30	9	7	2	2	0	1	0	0	1	0	0	0	0	0	0	0	0	117	108	83	25	25	0	1	0	0	9	2	2	0	4	3	4	0	0	19 (24)	19 (24)	16 (17)	3 (7)	1	2 (6)	0	0 (1)	0	0 (1)	0 (1)	0	1	0	1	0 (1)	1	0	
7	4QHKK_Chain_K,_UCA_heavy_chain	productive	Homsap IGHV4-59*08 F, or Homsap IGHV4-59*12 (F)	317 (320)	290 (293)	233 (234)	57 (59)	57 (58)	0 (1)	2	0	0	14	7 (8)	2	0 (1)	10	8	14	0	0	78	75	58	17	17	0	0	0	0	3	2	0	0	4	2	6	0	0	36	24	19	5	5	0	0	0	0	3	0	0	0	1	0	1	0	0	51	51	44	7	7	0	0	0	0	2	2	1	0	0	2	0	0	0	30	21	18	3	3	0	0	0	0	2	0	0	0	0	1	0	0	0	117	114	90	24	24	0	2	0	0	4	3	1	0	5	2	7	0	0	5 (8)	5 (8)	4 (5)	1 (3)	1 (2)	0 (1)	0	0	0	0	0 (1)	0	0 (1)	0	1	0	0	0	
8	4QHKO_Chain_O,_UCA_heavy_chain	productive	Homsap IGHV4-59*08 F, or Homsap IGHV4-59*12 (F)	317 (320)	290 (293)	233 (234)	57 (59)	57 (58)	0 (1)	2	0	0	14	7 (8)	2	0 (1)	10	8	14	0	0	78	75	58	17	17	0	0	0	0	3	2	0	0	4	2	6	0	0	36	24	19	5	5	0	0	0	0	3	0	0	0	1	0	1	0	0	51	51	44	7	7	0	0	0	0	2	2	1	0	0	2	0	0	0	30	21	18	3	3	0	0	0	0	2	0	0	0	0	1	0	0	0	117	114	90	24	24	0	2	0	0	4	3	1	0	5	2	7	0	0	5 (8)	5 (8)	4 (5)	1 (3)	1 (2)	0 (1)	0	0	0	0	0 (1)	0	0 (1)	0	1	0	0	0	
9	4QHKI_Chain_I,_UCA_heavy_chain	productive	Homsap IGHV4-59*08 F, or Homsap IGHV4-59*12 (F)	317 (320)	290 (293)	233 (234)	57 (59)	57 (58)	0 (1)	2	0	0	14	7 (8)	2	0 (1)	10	8	14	0	0	78	75	58	17	17	0	0	0	0	3	2	0	0	4	2	6	0	0	36	24	19	5	5	0	0	0	0	3	0	0	0	1	0	1	0	0	51	51	44	7	7	0	0	0	0	2	2	1	0	0	2	0	0	0	30	21	18	3	3	0	0	0	0	2	0	0	0	0	1	0	0	0	117	114	90	24	24	0	2	0	0	4	3	1	0	5	2	7	0	0	5 (8)	5 (8)	4 (5)	1 (3)	1 (2)	0 (1)	0	0	0	0	0 (1)	0	0 (1)	0	1	0	0	0	
10	4QHKM_Chain_M,_UCA_heavy_chain	productive	Homsap IGHV4-59*08 F, or Homsap IGHV4-59*12 (F)	317 (320)	290 (293)	233 (234)	57 (59)	57 (58)	0 (1)	2	0	0	14	7 (8)	2	0 (1)	10	8	14	0	0	78	75	58	17	17	0	0	0	0	3	2	0	0	4	2	6	0	0	36	24	19	5	5	0	0	0	0	3	0	0	0	1	0	1	0	0	51	51	44	7	7	0	0	0	0	2	2	1	0	0	2	0	0	0	30	21	18	3	3	0	0	0	0	2	0	0	0	0	1	0	0	0	117	114	90	24	24	0	2	0	0	4	3	1	0	5	2	7	0	0	5 (8)	5 (8)	4 (5)	1 (3)	1 (2)	0 (1)	0	0	0	0	0 (1)	0	0 (1)	0	1	0	0	0	
11	4PY7B_Chain_B,_antibody_3.1_light_chain	productive	Homsap IGKV1-12*01 F, or Homsap IGKV1-12*02 F or Homsap IGKV1D-12*02 F	332 (335)	284 (287)	209 (210)	75 (77)	72 (74)	3	8	0	0 (1)	29 (30)	11	1	0	8	4	14	0	0	78	78	50	28	25	3	2	0	0	7	4	1	0	5	1	8	0	0	36	18	16	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	51	51	41	10	10	0	3	0	0	4	1	0	0	0	1	1	0	0	30	9	5	4	4	0	0	0	0	1	1	0	0	1	0	1	0	0	117	108	80	28	28	0	2	0	0	13	5	0	0	2	2	4	0	0	20 (23)	20 (23)	17 (18)	3 (5)	3 (5)	0	1	0	0 (1)	2 (3)	0	0	0	0	0	0	0	0	
12	4PY7A_Chain_A,_antibody_3.1_heavy_chain	productive	Homsap IGHV3-30-3*01 F, or Homsap IGHV3-33*08 F	320	296	223	73	58	15	8	1	0	17	8	2	1	8	11	14	1	2	78	75	55	20	19	1	1	0	0	4	2	0	0	4	3	6	0	0	36	24	17	7	2	5	1	1	0	2	0	0	0	0	0	1	1	1	51	51	40	11	7	4	0	0	0	2	2	1	0	0	3	2	0	1	30	24	15	9	9	0	1	0	0	3	3	0	0	1	0	1	0	0	117	114	90	24	19	5	4	0	0	6	1	1	1	3	4	4	0	0	8	8	6	2	2	0	1	0	0	0	0	0	0	0	1	0	0	0	
13	4PY7J_Chain_J,_antibody_3.1_light_chain	productive	Homsap IGKV1-12*01 F, or Homsap IGKV1-12*02 F or Homsap IGKV1D-12*02 F	332 (335)	284 (287)	209 (210)	75 (77)	72 (74)	3	8	0	0 (1)	29 (30)	11	1	0	8	4	14	0	0	78	78	50	28	25	3	2	0	0	7	4	1	0	5	1	8	0	0	36	18	16	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	51	51	41	10	10	0	3	0	0	4	1	0	0	0	1	1	0	0	30	9	5	4	4	0	0	0	0	1	1	0	0	1	0	1	0	0	117	108	80	28	28	0	2	0	0	13	5	0	0	2	2	4	0	0	20 (23)	20 (23)	17 (18)	3 (5)	3 (5)	0	1	0	0 (1)	2 (3)	0	0	0	0	0	0	0	0	
14	4PY7I_Chain_I,_antibody_3.1_heavy_chain	productive	Homsap IGHV3-30-3*01 F, or Homsap IGHV3-33*08 F	320	296	223	73	58	15	8	1	0	17	8	2	1	8	11	14	1	2	78	75	55	20	19	1	1	0	0	4	2	0	0	4	3	6	0	0	36	24	17	7	2	5	1	1	0	2	0	0	0	0	0	1	1	1	51	51	40	11	7	4	0	0	0	2	2	1	0	0	3	2	0	1	30	24	15	9	9	0	1	0	0	3	3	0	0	1	0	1	0	0	117	114	90	24	19	5	4	0	0	6	1	1	1	3	4	4	0	0	8	8	6	2	2	0	1	0	0	0	0	0	0	0	1	0	0	0	
15	4O5LH_Chain_H,_Fab_F045-092_heavy_chain	productive	Homsap IGHV1-69*01 F, or Homsap IGHV1-69D*01 F	314 (320)	287 (293)	219 (220)	68 (73)	47 (50)	21 (23)	7 (8)	7	0	14	8 (10)	1	2	6	11 (13)	11	0	1	78	72	53	19	16	3	1	0	0	4	0	0	0	4	3	7	0	0	36	24	16	8	2	6	0	3	0	2	1	0	1	0	0	1	0	0	51	51	41	10	9	1	2	1	0	1	2	1	0	0	2	0	0	1	30	24	17	7	4	3	0	1	0	3	2	0	1	0	0	0	0	0	117	114	90	24	16	8	4	2	0	4	3	0	0	2	6	3	0	0	2 (8)	2 (8)	2 (3)	0 (5)	0 (3)	0 (2)	0 (1)	0	0	0	0 (2)	0	0	0	0 (2)	0	0	0	
16	4O5LL_Chain_L,_Fab_F045-092_light_chain	productive	Homsap IGLV1-44*01 F, or Homsap IGLV1-44*04 F	338 (341)	293 (296)	205	88 (91)	74 (77)	14	5	1	1 (2)	25 (26)	10	3	0	13	8	22 (23)	0	0	78	75	51	24	23	1	0	0	0	6	3	0	0	5	4	6	0	0	36	24	16	8	5	3	1	0	0	3	1	0	0	1	0	2	0	0	51	51	41	10	8	2	2	0	1	1	2	0	0	0	1	3	0	0	30	9	5	4	2	2	1	0	0	3	0	0	0	0	0	0	0	0	117	108	72	36	33	3	1	0	0	10	2	3	0	7	3	10	0	0	26 (29)	26 (29)	20	6 (9)	3 (6)	3	0	1	0 (1)	2 (3)	2	0	0	0	0	1 (2)	0	0	
17	4NM4I_Chain_I,_Antibody_CR8043,_Heavy_Chain	productive	Homsap IGHV1-2*02 F, or Homsap IGHV1-3*04 (F)	317 (320)	293 (296)	220 (221)	73 (75)	41 (43)	32	7 (9)	6	0	16	10	2	1	7	10	12	1	1	78	75	57	18	16	2	0	0	0	5	1	0	0	4	3	5	0	0	36	24	19	5	1	4	1	0	0	1	1	0	0	1	1	0	0	0	51	51	41	10	7	3	2	1	0	1	3	1	0	0	1	0	0	1	30	24	14	10	2	8	1	2	0	3	2	1	0	0	0	0	1	0	117	114	85	29	14	15	3	3	0	6	3	0	1	2	4	7	0	0	5 (8)	5 (8)	4 (5)	1 (3)	1 (3)	0	0 (2)	0	0	0	0	0	0	0	1	0	0	0	
18	4NM4M_Chain_M,_Antibody_CR8043,_Light_Chain	productive	Homsap IGKV4-1*02 F	332 (335)	302 (305)	227	75 (78)	57 (60)	18	6	1	0 (1)	24 (25)	10	2	0	10	7	13 (14)	0	2	78	78	64	14	12	2	0	0	0	3	1	0	0	5	1	4	0	0	36	36	27	9	5	4	1	0	0	2	2	0	0	2	0	1	0	1	51	51	40	11	10	1	2	0	0	5	2	0	0	0	0	2	0	0	30	9	3	6	3	3	0	1	0	1	1	0	0	1	0	2	0	0	117	108	80	28	25	3	2	0	0	9	4	2	0	2	4	4	0	1	20 (23)	20 (23)	13	7 (10)	2 (5)	5	1	0	0 (1)	4 (5)	0	0	0	0	2	0 (1)	0	0	
19	4NM4H_Chain_H,_Antibody_CR8043,_Heavy_Chain	productive	Homsap IGHV1-2*02 F, or Homsap IGHV1-3*04 (F)	317 (320)	293 (296)	220 (221)	73 (75)	41 (43)	32	7 (9)	6	0	16	10	2	1	7	10	12	1	1	78	75	57	18	16	2	0	0	0	5	1	0	0	4	3	5	0	0	36	24	19	5	1	4	1	0	0	1	1	0	0	1	1	0	0	0	51	51	41	10	7	3	2	1	0	1	3	1	0	0	1	0	0	1	30	24	14	10	2	8	1	2	0	3	2	1	0	0	0	0	1	0	117	114	85	29	14	15	3	3	0	6	3	0	1	2	4	7	0	0	5 (8)	5 (8)	4 (5)	1 (3)	1 (3)	0	0 (2)	0	0	0	0	0	0	0	1	0	0	0	
20	4NM4L_Chain_L,_Antibody_CR8043,_Light_Chain	productive	Homsap IGKV4-1*02 F	332 (335)	302 (305)	227	75 (78)	57 (60)	18	6	1	0 (1)	24 (25)	10	2	0	10	7	13 (14)	0	2	78	78	64	14	12	2	0	0	0	3	1	0	0	5	1	4	0	0	36	36	27	9	5	4	1	0	0	2	2	0	0	2	0	1	0	1	51	51	40	11	10	1	2	0	0	5	2	0	0	0	0	2	0	0	30	9	3	6	3	3	0	1	0	1	1	0	0	1	0	2	0	0	117	108	80	28	25	3	2	0	0	9	4	2	0	2	4	4	0	1	20 (23)	20 (23)	13	7 (10)	2 (5)	5	1	0	0 (1)	4 (5)	0	0	0	0	2	0 (1)	0	0	
21	4M5YM_Chain_M,_Fab_5J8_light_chain	productive	Homsap IGLV3-21*02 F, or Homsap IGLV3-21*03 F	338 (341)	287 (290)	216 (217)	71 (73)	55 (56)	16 (17)	4	0	1	21	9	2	0	7	11	13 (14)	2	1 (2)	78	75	55	20	18	2	0	0	0	4	5	0	0	3	3	5	0	0	36	18	10	8	3	5	2	0	0	2	1	0	0	0	1	0	1	1	51	51	43	8	5	3	0	0	0	2	2	0	0	0	2	2	0	0	30	9	7	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	117	108	82	26	24	2	2	0	1	6	1	2	0	4	4	6	0	0	26 (29)	26 (29)	19 (20)	7 (9)	3 (4)	4 (5)	0	0	0	5	0	0	0	0	1	0 (1)	1	0 (1)	
