Sequence number	Sequence ID	V-DOMAIN Functionality	V-GENE and allele	V-REGION Nb of positions including IMGT gaps (nt)	V-REGION Nb of nucleotides	V-REGION Nb of identical nucleotides	V-REGION Nb of mutations	V-REGION Nb of silent mutations	V-REGION Nb of nonsilent mutations	V-REGION a>g	V-REGION g>a	V-REGION c>t	V-REGION t>c	V-REGION a>c	V-REGION c>a	V-REGION a>t	V-REGION t>a	V-REGION g>c	V-REGION c>g	V-REGION g>t	V-REGION t>g	FR1-IMGT Nb of positions including IMGT gaps (nt)	FR1-IMGT Nb of nucleotides	FR1-IMGT Nb of identical nucleotides	FR1-IMGT Nb of mutations	FR1-IMGT Nb of silent mutations	FR1-IMGT Nb of nonsilent mutations	FR1-IMGT a>g	FR1-IMGT g>a	FR1-IMGT c>t	FR1-IMGT t>c	FR1-IMGT a>c	FR1-IMGT c>a	FR1-IMGT a>t	FR1-IMGT t>a	FR1-IMGT g>c	FR1-IMGT c>g	FR1-IMGT g>t	FR1-IMGT t>g	CDR1-IMGT Nb of positions including IMGT gaps (nt)	CDR1-IMGT Nb of nucleotides	CDR1-IMGT Nb of identical nucleotides	CDR1-IMGT Nb of mutations	CDR1-IMGT Nb of silent mutations	CDR1-IMGT Nb of nonsilent mutations	CDR1-IMGT a>g	CDR1-IMGT g>a	CDR1-IMGT c>t	CDR1-IMGT t>c	CDR1-IMGT a>c	CDR1-IMGT c>a	CDR1-IMGT a>t	CDR1-IMGT t>a	CDR1-IMGT g>c	CDR1-IMGT c>g	CDR1-IMGT g>t	CDR1-IMGT t>g	FR2-IMGT Nb of positions including IMGT gaps (nt)	FR2-IMGT Nb of nucleotides	FR2-IMGT Nb of identical nucleotides	FR2-IMGT Nb of mutations	FR2-IMGT Nb of silent mutations	FR2-IMGT Nb of nonsilent mutations	FR2-IMGT a>g	FR2-IMGT g>a	FR2-IMGT c>t	FR2-IMGT t>c	FR2-IMGT a>c	FR2-IMGT c>a	FR2-IMGT a>t	FR2-IMGT t>a	FR2-IMGT g>c	FR2-IMGT c>g	FR2-IMGT g>t	FR2-IMGT t>g	CDR2-IMGT Nb of positions including IMGT gaps (nt)	CDR2-IMGT Nb of nucleotides	CDR2-IMGT Nb of identical nucleotides	CDR2-IMGT Nb of mutations	CDR2-IMGT Nb of silent mutations	CDR2-IMGT Nb of nonsilent mutations	CDR2-IMGT a>g	CDR2-IMGT g>a	CDR2-IMGT c>t	CDR2-IMGT t>c	CDR2-IMGT a>c	CDR2-IMGT c>a	CDR2-IMGT a>t	CDR2-IMGT t>a	CDR2-IMGT g>c	CDR2-IMGT c>g	CDR2-IMGT g>t	CDR2-IMGT t>g	FR3-IMGT Nb of positions including IMGT gaps (nt)	FR3-IMGT Nb of nucleotides	FR3-IMGT Nb of identical nucleotides	FR3-IMGT Nb of mutations	FR3-IMGT Nb of silent mutations	FR3-IMGT Nb of nonsilent mutations	FR3-IMGT a>g	FR3-IMGT g>a	FR3-IMGT c>t	FR3-IMGT t>c	FR3-IMGT a>c	FR3-IMGT c>a	FR3-IMGT a>t	FR3-IMGT t>a	FR3-IMGT g>c	FR3-IMGT c>g	FR3-IMGT g>t	FR3-IMGT t>g	CDR3-IMGT Nb of positions including IMGT gaps (nt)	CDR3-IMGT Nb of nucleotides	CDR3-IMGT Nb of identical nucleotides	CDR3-IMGT Nb of mutations	CDR3-IMGT Nb of silent mutations	CDR3-IMGT Nb of nonsilent mutations	CDR3-IMGT a>g	CDR3-IMGT g>a	CDR3-IMGT c>t	CDR3-IMGT t>c	CDR3-IMGT a>c	CDR3-IMGT c>a	CDR3-IMGT a>t	CDR3-IMGT t>a	CDR3-IMGT g>c	CDR3-IMGT c>g	CDR3-IMGT g>t	CDR3-IMGT t>g	
1	AIU95758.1_immunoglobulin_kappa_light_chain_varia	rearranged sequence (but no junction found)	Homsap IGKV3D-15*01 F	335	287	222	65	60	5	8	1	0	23	7	0	1	7	4	12	0	2	78	78	57	21	21	0	3	0	0	4	3	0	0	4	2	5	0	0	36	18	14	4	2	2	0	1	0	1	0	0	1	0	0	0	0	1	51	51	43	8	8	0	2	0	0	4	0	0	0	0	0	2	0	0	30	9	5	4	4	0	0	0	0	1	1	0	0	1	0	1	0	0	117	108	83	25	22	3	3	0	0	10	3	0	0	2	2	4	0	1	23	23	20	3	3	0	0	0	0	3	0	0	0	0	0	0	0	0	
2	AIU95757.1_immunoglobulin_kappa_light_chain_varia	rearranged sequence (but no junction found)	Homsap IGKV1-39*01 F, or Homsap IGKV1D-39*01 F	332 (335)	284 (287)	203	81 (84)	70 (73)	11	11	1	0 (1)	29 (30)	11	1 (2)	0	9	4	13	1	1	78	78	55	23	23	0	2	0	0	5	4	1	0	5	0	6	0	0	36	18	13	5	2	3	1	1	0	2	0	0	0	0	0	1	0	0	51	51	38	13	10	3	4	0	0	5	1	0	0	0	2	1	0	0	30	9	5	4	4	0	0	0	0	1	1	0	0	1	0	1	0	0	117	108	75	33	28	5	3	0	0	14	5	0	0	3	2	4	1	1	20 (23)	20 (23)	17	3 (6)	3 (6)	0	1	0	0 (1)	2 (3)	0	0 (1)	0	0	0	0	0	0	
3	AIU95756.1_immunoglobulin_kappa_light_chain_varia	productive	Homsap IGKV2-30*02 [F]	319 (324)	286 (291)	210 (213)	76 (78)	66 (68)	10	9	1	0	21 (22)	9 (10)	2	0	9	5	14	1	5	78	78	55	23	22	1	0	1	0	5	2	0	0	5	1	7	0	2	36	33	25	8	5	3	3	0	0	2	1	0	0	0	0	1	1	0	51	51	36	15	13	2	2	0	0	6	3	1	0	1	0	2	0	0	30	9	5	4	4	0	0	0	0	1	0	0	0	1	0	1	0	1	117	108	83	25	21	4	3	0	0	7	3	1	0	2	4	3	0	2	7 (12)	7 (12)	6 (9)	1 (3)	1 (3)	0	1	0	0	0 (1)	0 (1)	0	0	0	0	0	0	0	
4	AIU95755.1_immunoglobulin_kappa_light_chain_varia	No rearrangement found	Homsap IGKV2-30*02 [F]	332	299	224	75	70	5	8	0	0	22	10	2	0	9	4	14	1	5	78	78	56	22	22	0	0	0	0	5	2	0	0	5	1	7	0	2	36	33	25	8	5	3	3	0	0	2	1	0	0	0	0	1	1	0	51	51	36	15	13	2	2	0	0	6	3	1	0	1	0	2	0	0	30	9	5	4	4	0	0	0	0	1	0	0	0	1	0	1	0	1	117	108	85	23	23	0	2	0	0	7	3	1	0	2	3	3	0	2	20	20	17	3	3	0	1	0	0	1	1	0	0	0	0	0	0	0	
5	AIU95754.1_immunoglobulin_kappa_light_chain_varia	rearranged sequence (but no junction found)	Homsap IGKV3D-15*01 F	331 (335)	283 (287)	222	61 (65)	58 (60)	3 (5)	5	0	0 (2)	22	8	0 (1)	0	7	6	11	0	2 (3)	78	78	57	21	21	0	3	0	0	4	3	0	0	4	2	5	0	0	36	18	15	3	2	1	0	0	0	1	0	0	0	0	1	0	0	1	51	51	43	8	8	0	2	0	0	4	0	0	0	0	0	2	0	0	30	9	5	4	4	0	0	0	0	1	1	0	0	1	0	1	0	0	117	108	86	22	21	1	0	0	0	10	4	0	0	2	2	3	0	1	19 (23)	19 (23)	16	3 (7)	2 (4)	1 (3)	0	0	0 (2)	2	0	0 (1)	0	0	1	0	0	0 (1)	
6	AIU95753.1_immunoglobulin_kappa_light_chain_varia	No rearrangement found	Homsap IGKV1-39*01 F, or Homsap IGKV1D-39*01 F	332	284	199	85	63	22	13	1	2	29	12	1	0	7	6	14	0	0	78	78	55	23	23	0	2	0	0	5	4	1	0	5	0	6	0	0	36	18	14	4	2	2	0	1	0	2	0	0	0	0	1	0	0	0	51	51	37	14	10	4	5	0	0	5	1	0	0	0	2	1	0	0	30	9	4	5	3	2	0	0	0	1	1	0	0	1	0	2	0	0	117	108	74	34	23	11	5	0	2	14	6	0	0	1	2	4	0	0	20	20	15	5	2	3	1	0	0	2	0	0	0	0	1	1	0	0	
7	AIU95752.1_immunoglobulin_kappa_light_chain_varia	rearranged sequence (but no junction found)	Homsap IGKV2D-29*01 F, or Homsap IGKV2D-29*02 F	332 (335)	299 (302)	221	78 (81)	61 (64)	17	6	3	0 (2)	22 (23)	12	4	0	8	4	14	0	5	78	78	54	24	21	3	1	1	0	6	2	0	0	5	1	7	0	1	36	33	24	9	5	4	2	1	0	3	1	0	0	0	0	1	0	1	51	51	40	11	6	5	1	0	0	4	2	2	0	0	0	2	0	0	30	9	4	5	2	3	0	1	0	1	1	0	0	1	0	1	0	0	117	108	84	24	24	0	1	0	0	7	5	2	0	2	3	2	0	2	20 (23)	20 (23)	15	5 (8)	3 (6)	2	1	0	0 (2)	1 (2)	1	0	0	0	0	1	0	1	
8	AIU95751.1_immunoglobulin_kappa_light_chain_varia	No rearrangement found	Homsap IGKV2-28*01 F, or Homsap IGKV2D-28*01 F	332	299	219	80	67	13	7	0	1	28	9	2	2	9	5	14	0	3	78	78	55	23	21	2	0	0	0	7	2	0	0	5	2	7	0	0	36	33	24	9	4	5	1	0	1	4	1	0	1	0	0	1	0	0	51	51	40	11	9	2	0	0	0	4	2	0	1	1	1	2	0	0	30	9	4	5	5	0	0	0	0	3	0	0	0	1	0	1	0	0	117	108	83	25	24	1	2	0	0	8	4	1	0	2	2	3	0	3	20	20	13	7	4	3	4	0	0	2	0	1	0	0	0	0	0	0	
9	AIU95750.1_immunoglobulin_kappa_light_chain_varia	No rearrangement found	Homsap IGKV1-39*01 F, or Homsap IGKV1D-39*01 F	332	284	196	88	65	23	14	1	1	28	12	2	0	8	5	15	0	2	78	78	55	23	23	0	2	0	0	5	4	1	0	5	0	6	0	0	36	18	14	4	2	2	0	1	0	2	0	0	0	0	1	0	0	0	51	51	36	15	10	5	6	0	0	5	1	1	0	0	1	1	0	0	30	9	4	5	3	2	0	0	0	1	1	0	0	1	0	2	0	0	117	108	72	36	25	11	5	0	1	13	6	0	0	2	2	5	0	2	20	20	15	5	2	3	1	0	0	2	0	0	0	0	1	1	0	0	
10	AIU95749.1_immunoglobulin_kappa_light_chain_varia	No rearrangement found	Homsap IGKV3D-15*01 F	332	284	211	73	54	19	8	1	2	21	7	1	1	7	7	15	0	3	78	78	53	25	21	4	3	0	2	4	3	0	0	4	2	7	0	0	36	18	13	5	1	4	2	0	0	1	0	0	0	0	1	0	0	1	51	51	41	10	5	5	2	0	0	3	0	1	0	0	0	3	0	1	30	9	4	5	3	2	0	1	0	1	1	0	0	1	0	1	0	0	117	108	83	25	22	3	1	0	0	10	3	0	1	2	4	3	0	1	20	20	17	3	2	1	0	0	0	2	0	0	0	0	0	1	0	0	
11	AIU95748.1_immunoglobulin_kappa_light_chain_varia	No rearrangement found	Homsap IGKV3D-15*01 F	332	284	213	71	52	19	10	4	0	23	7	0	1	7	4	12	2	1	78	78	57	21	21	0	3	0	0	4	3	0	0	4	2	5	0	0	36	18	7	11	0	11	3	2	0	2	0	0	1	0	0	1	2	0	51	51	42	9	5	4	3	0	0	3	0	0	0	0	0	2	0	1	30	9	5	4	4	0	0	0	0	1	1	0	0	1	0	1	0	0	117	108	84	24	20	4	1	2	0	11	3	0	0	2	2	3	0	0	20	20	18	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	
12	AIU95747.1_immunoglobulin_kappa_light_chain_varia	productive	Homsap IGKV2-30*02 [F]	319 (324)	286 (291)	210 (213)	76 (78)	68 (70)	8	10	0	0	21 (22)	9 (10)	2	0	10	4	14	1	5	78	78	54	24	22	2	1	0	0	5	2	0	0	6	1	7	0	2	36	33	25	8	5	3	3	0	0	2	1	0	0	0	0	1	1	0	51	51	36	15	13	2	2	0	0	6	3	1	0	1	0	2	0	0	30	9	5	4	4	0	0	0	0	1	0	0	0	1	0	1	0	1	117	108	84	24	23	1	3	0	0	7	3	1	0	2	3	3	0	2	7 (12)	7 (12)	6 (9)	1 (3)	1 (3)	0	1	0	0	0 (1)	0 (1)	0	0	0	0	0	0	0	
