Sequence number	Sequence ID	V-DOMAIN Functionality	V-GENE and allele	V-REGION Nb of positions including IMGT gaps (nt)	V-REGION Nb of nucleotides	V-REGION Nb of identical nucleotides	V-REGION Nb of mutations	V-REGION Nb of silent mutations	V-REGION Nb of nonsilent mutations	V-REGION a>g	V-REGION g>a	V-REGION c>t	V-REGION t>c	V-REGION a>c	V-REGION c>a	V-REGION a>t	V-REGION t>a	V-REGION g>c	V-REGION c>g	V-REGION g>t	V-REGION t>g	FR1-IMGT Nb of positions including IMGT gaps (nt)	FR1-IMGT Nb of nucleotides	FR1-IMGT Nb of identical nucleotides	FR1-IMGT Nb of mutations	FR1-IMGT Nb of silent mutations	FR1-IMGT Nb of nonsilent mutations	FR1-IMGT a>g	FR1-IMGT g>a	FR1-IMGT c>t	FR1-IMGT t>c	FR1-IMGT a>c	FR1-IMGT c>a	FR1-IMGT a>t	FR1-IMGT t>a	FR1-IMGT g>c	FR1-IMGT c>g	FR1-IMGT g>t	FR1-IMGT t>g	CDR1-IMGT Nb of positions including IMGT gaps (nt)	CDR1-IMGT Nb of nucleotides	CDR1-IMGT Nb of identical nucleotides	CDR1-IMGT Nb of mutations	CDR1-IMGT Nb of silent mutations	CDR1-IMGT Nb of nonsilent mutations	CDR1-IMGT a>g	CDR1-IMGT g>a	CDR1-IMGT c>t	CDR1-IMGT t>c	CDR1-IMGT a>c	CDR1-IMGT c>a	CDR1-IMGT a>t	CDR1-IMGT t>a	CDR1-IMGT g>c	CDR1-IMGT c>g	CDR1-IMGT g>t	CDR1-IMGT t>g	FR2-IMGT Nb of positions including IMGT gaps (nt)	FR2-IMGT Nb of nucleotides	FR2-IMGT Nb of identical nucleotides	FR2-IMGT Nb of mutations	FR2-IMGT Nb of silent mutations	FR2-IMGT Nb of nonsilent mutations	FR2-IMGT a>g	FR2-IMGT g>a	FR2-IMGT c>t	FR2-IMGT t>c	FR2-IMGT a>c	FR2-IMGT c>a	FR2-IMGT a>t	FR2-IMGT t>a	FR2-IMGT g>c	FR2-IMGT c>g	FR2-IMGT g>t	FR2-IMGT t>g	CDR2-IMGT Nb of positions including IMGT gaps (nt)	CDR2-IMGT Nb of nucleotides	CDR2-IMGT Nb of identical nucleotides	CDR2-IMGT Nb of mutations	CDR2-IMGT Nb of silent mutations	CDR2-IMGT Nb of nonsilent mutations	CDR2-IMGT a>g	CDR2-IMGT g>a	CDR2-IMGT c>t	CDR2-IMGT t>c	CDR2-IMGT a>c	CDR2-IMGT c>a	CDR2-IMGT a>t	CDR2-IMGT t>a	CDR2-IMGT g>c	CDR2-IMGT c>g	CDR2-IMGT g>t	CDR2-IMGT t>g	FR3-IMGT Nb of positions including IMGT gaps (nt)	FR3-IMGT Nb of nucleotides	FR3-IMGT Nb of identical nucleotides	FR3-IMGT Nb of mutations	FR3-IMGT Nb of silent mutations	FR3-IMGT Nb of nonsilent mutations	FR3-IMGT a>g	FR3-IMGT g>a	FR3-IMGT c>t	FR3-IMGT t>c	FR3-IMGT a>c	FR3-IMGT c>a	FR3-IMGT a>t	FR3-IMGT t>a	FR3-IMGT g>c	FR3-IMGT c>g	FR3-IMGT g>t	FR3-IMGT t>g	CDR3-IMGT Nb of positions including IMGT gaps (nt)	CDR3-IMGT Nb of nucleotides	CDR3-IMGT Nb of identical nucleotides	CDR3-IMGT Nb of mutations	CDR3-IMGT Nb of silent mutations	CDR3-IMGT Nb of nonsilent mutations	CDR3-IMGT a>g	CDR3-IMGT g>a	CDR3-IMGT c>t	CDR3-IMGT t>c	CDR3-IMGT a>c	CDR3-IMGT c>a	CDR3-IMGT a>t	CDR3-IMGT t>a	CDR3-IMGT g>c	CDR3-IMGT c>g	CDR3-IMGT g>t	CDR3-IMGT t>g	
1	6WXLH_Chain_H,_1D21_Heavy_chain	productive	Homsap IGHV1-2*02 F, or Homsap IGHV1-2*06 F	314 (320)	284 (290)	230 (232)	54 (58)	43 (45)	11 (13)	3	0 (1)	1	15	9 (10)	2	0	7	7 (9)	9	0	1	78	69	52	17	17	0	0	0	0	5	1	0	0	4	2	5	0	0	36	24	22	2	2	0	0	0	0	1	1	0	0	0	0	0	0	0	51	51	41	10	8	2	2	0	0	1	3	1	0	1	1	0	0	1	30	24	18	6	3	3	1	0	0	3	1	0	0	0	1	0	0	0	117	114	95	19	13	6	0	0	1	5	3	1	0	2	3	4	0	0	2 (8)	2 (8)	2 (4)	0 (4)	0 (2)	0 (2)	0	0 (1)	0	0	0 (1)	0	0	0	0 (2)	0	0	0	
2	6WXLL_Chain_L,_1D12_Light_chain	productive	Homsap IGKV2-28*01 F, or Homsap IGKV2D-28*01 F	335	302	220	82	71	11	6	1	0	30	10	3	0	9	5	15	1	2	78	78	54	24	22	2	0	0	0	7	2	1	0	5	1	8	0	0	36	33	24	9	5	4	0	0	0	3	2	0	0	0	1	1	1	1	51	51	41	10	10	0	0	0	0	4	2	0	0	1	1	2	0	0	30	9	4	5	5	0	0	0	0	3	0	0	0	1	0	1	0	0	117	108	82	26	24	2	2	1	0	10	4	1	0	2	2	3	0	1	23	23	15	8	5	3	4	0	0	3	0	1	0	0	0	0	0	0	
3	URY16698.1_influenza_specific_immunoglobulin_heav	productive	Homsap IGHV4-59*08 F, or Homsap IGHV4-59*12 (F)	317 (320)	290 (293)	220	70 (73)	53 (56)	17	6 (8)	1	0	14	9	3	2	9	10	14 (15)	0	2	78	75	57	18	17	1	1	0	0	3	2	0	0	4	2	6	0	0	36	24	17	7	5	2	0	0	0	3	0	0	0	1	1	1	0	1	51	51	41	10	7	3	1	0	0	2	3	1	0	0	2	1	0	0	30	21	16	5	3	2	0	1	0	2	0	0	1	0	1	0	0	0	117	114	85	29	20	9	4	0	0	4	4	2	1	4	3	6	0	1	5 (8)	5 (8)	4	1 (4)	1 (4)	0	0 (2)	0	0	0	0	0	0	0	1	0 (1)	0	0	
4	URY16697.1_influenza_specific_immunoglobulin_heav	productive	Homsap IGHV1-18*04 F	317 (320)	293 (296)	233 (234)	60 (62)	48 (50)	12	4 (5)	1	2	16	9 (10)	1	1	6	8	10	0	2	78	75	57	18	18	0	0	0	0	5	2	0	0	4	1	5	0	1	36	24	19	5	2	3	0	1	1	3	0	0	0	0	0	0	0	0	51	51	42	9	8	1	2	0	0	1	2	1	1	0	1	0	0	1	30	24	19	5	3	2	0	0	0	3	1	0	0	0	0	1	0	0	117	114	92	22	16	6	2	0	1	4	4	0	0	2	5	4	0	0	5 (8)	5 (8)	4 (5)	1 (3)	1 (3)	0	0 (1)	0	0	0	0 (1)	0	0	0	1	0	0	0	
5	URY16696.1_influenza_specific_immunoglobulin_heav	productive	Homsap IGHV3-30-3*01 F, or Homsap IGHV3-33*08 F	320	296	229	67	60	7	8	1	0	18	10	2	0	8	7	12	0	1	78	75	56	19	19	0	1	0	0	4	2	0	0	4	2	6	0	0	36	24	18	6	4	2	1	1	0	3	1	0	0	0	0	0	0	0	51	51	42	9	7	2	0	0	0	1	2	1	0	0	2	2	0	1	30	24	14	10	8	2	1	0	0	4	3	0	0	1	0	1	0	0	117	114	93	21	20	1	4	0	0	6	2	1	0	3	2	3	0	0	8	8	6	2	2	0	1	0	0	0	0	0	0	0	1	0	0	0	
6	URY16695.1_influenza_specific_immunoglobulin_heav	productive	Homsap IGHV3-30-3*01 F, or Homsap IGHV3-33*08 F	317 (320)	293 (296)	213 (214)	80 (82)	51 (53)	29	9 (11)	1	1	18	9	3	1	10	11	15	1	1	78	75	55	20	18	2	2	0	0	4	1	1	0	4	2	6	0	0	36	24	15	9	2	7	0	0	0	3	1	0	0	2	2	1	0	0	51	51	42	9	7	2	0	0	0	1	2	1	0	0	2	2	0	1	30	24	12	12	7	5	1	0	0	4	3	0	0	1	1	1	1	0	117	114	85	29	16	13	6	1	1	6	2	1	1	3	3	5	0	0	5 (8)	5 (8)	4 (5)	1 (3)	1 (3)	0	0 (2)	0	0	0	0	0	0	0	1	0	0	0	
7	URY16694.1_influenza_specific_immunoglobulin_heav	productive	Homsap IGHV3-74*01 F	320	296	224	72	60	12	9	2	0	15	9	3	1	8	8	13	0	4	78	75	53	22	18	4	1	1	0	3	3	0	0	5	2	5	0	2	36	24	17	7	2	5	1	0	0	1	2	0	1	0	0	1	0	1	51	51	36	15	14	1	1	1	0	1	2	2	0	1	2	4	0	1	30	24	17	7	7	0	0	0	0	5	1	0	0	0	1	0	0	0	117	114	95	19	17	2	5	0	0	5	0	1	0	2	3	3	0	0	8	8	6	2	2	0	1	0	0	0	1	0	0	0	0	0	0	0	
8	URY16693.1_influenza_specific_immunoglobulin_heav	productive	Homsap IGHV3-11*05 F	311 (320)	287 (296)	224 (227)	63 (69)	53 (57)	10 (12)	8 (9)	1 (2)	0	16 (17)	9	2	0 (1)	9	7 (8)	10 (11)	0	1	78	75	54	21	18	3	1	1	0	5	3	0	0	4	2	5	0	0	36	24	22	2	2	0	0	0	0	1	1	0	0	0	0	0	0	0	51	51	39	12	10	2	0	0	0	1	2	1	0	1	4	2	0	1	30	24	14	10	6	4	2	0	0	6	1	0	0	1	0	0	0	0	116 (117)	113 (114)	95	18 (19)	17 (18)	1	5	0	0	3 (4)	2	1	0	3	1	3	0	0	0 (8)	0 (8)	0 (3)	0 (5)	0 (3)	0 (2)	0 (1)	0 (1)	0	0 (0)	0	0	0 (1)	0	0 (1)	0 (1)	0	0	
9	URY16692.1_influenza_specific_immunoglobulin_heav	productive	Homsap IGHV4-59*08 F, or Homsap IGHV4-59*12 (F)	317 (320)	290 (293)	223	67 (70)	52 (55)	15	3 (5)	3	0	13	7	3 (4)	0	11	10	15	0	2	78	75	57	18	16	2	0	0	0	3	2	0	0	4	2	7	0	0	36	24	17	7	4	3	0	1	0	3	0	0	0	1	1	1	0	0	51	51	40	11	5	6	0	2	0	2	2	2	0	0	2	0	0	1	30	21	18	3	2	1	0	0	0	1	0	0	0	0	1	0	0	1	117	114	87	27	24	3	3	0	0	4	3	1	0	6	3	7	0	0	5 (8)	5 (8)	4	1 (4)	1 (4)	0	0 (2)	0	0	0	0	0 (1)	0	0	1	0	0	0	
10	URY16691.1_influenza_specific_immunoglobulin_heav	productive	Homsap IGHV5-10-1*03 F	317 (318)	293 (294)	237	56 (57)	50 (51)	6	6 (7)	1	0	15	4	1	0	9	8	11	1	0	78	75	57	18	17	1	3	0	0	4	2	0	0	4	1	4	0	0	36	24	20	4	2	2	0	1	0	1	1	0	0	0	1	0	0	0	51	51	45	6	5	1	1	0	0	0	0	1	0	0	2	1	1	0	30	24	16	8	8	0	0	0	0	6	0	0	0	1	0	1	0	0	117	114	95	19	17	2	2	0	0	4	1	0	0	4	3	5	0	0	5 (6)	5 (6)	4	1 (2)	1 (2)	0	0 (1)	0	0	0	0	0	0	0	1	0	0	0	
